time,10H,12H,14H,16H,max
2013-05-02,5.77350085811e-06,8.78334913996e-06,9.40497447667e-06,2.28514640305e-06,9.40497447667e-06
2013-05-03,5.81701303292e-06,7.19439953353e-06,3.39106650414e-06,8.95514620681e-07,7.19439953353e-06
2013-05-04,5.73073608374e-06,7.79047413957e-06,4.9715502344e-06,2.70063812424e-06,1.11047627558e-05
2013-05-05,1.08620321642e-05,1.55751927581e-05,1.18562060307e-05,2.690566407e-06,1.55751927581e-05
2013-05-06,1.85544496815e-06,1.23468577542e-05,7.87402538832e-06,2.18022122712e-06,1.23468577542e-05
2013-05-07,8.83992377966e-06,8.9550098596e-06,1.08395037552e-05,3.13459695648e-06,1.08395037552e-05
2013-05-08,1.98882532566e-06,1.45690624303e-06,6.82048454522e-07,2.81683599299e-07,4.01990371076e-06
2013-05-09,9.89760227238e-06,1.63629490193e-05,1.16231105539e-05,2.90121002157e-06,1.67471095663e-05
2013-05-10,6.69536378001e-06,5.05821822281e-06,1.36305149402e-05,3.77960675611e-06,1.36305149402e-05
2013-05-11,1.14637322172e-05,1.12065742058e-05,1.03335808444e-05,3.70035685193e-06,1.47437513061e-05
2013-05-12,4.62138131728e-06,7.47379170831e-06,9.85934040154e-06,2.21230726449e-06,1.03914573447e-05
2013-05-13,1.04921175357e-05,9.7158842364e-06,9.63527613228e-06,3.59434259845e-06,1.37431820687e-05
2013-05-14,,,,,
2013-05-15,,,,,
2013-05-16,,,,,
2013-05-17,,,,,
2013-05-18,,,,,
2013-05-19,,,,,
2013-05-20,,,,,
2013-05-21,,,,,
2013-05-22,,,,,
2013-05-23,,,,,
2013-05-24,,,,,
2013-05-25,,,,,
2013-05-26,,,,,
2013-05-27,,,,,
2013-05-28,,,,,
2013-05-29,,,,,
2013-05-30,,,,,
2013-05-31,,,,,
2013-06-01,,,,,
2013-06-02,,,,,
2013-06-03,,,,,
2013-06-04,,,,,
2013-06-05,,,,,
2013-06-06,,,,,
2013-06-07,,,,,
2013-06-08,,,,,
2013-06-09,,,,,
2013-06-10,,,,,
2013-06-11,,,,,
2013-06-12,,,,,
2013-06-13,,,,,
2013-06-14,,,,,
2013-06-15,,,,,
2013-06-16,,,,,
2013-06-17,,,,,
2013-06-18,,,,,
2013-06-19,,,,,
2013-06-20,,,,,
2013-06-21,,,,,
2013-06-22,,,,,
2013-06-23,,,,,
2013-06-24,,,,,
2013-06-25,,,,,
2013-06-26,,,,,
2013-06-27,,,,,
2013-06-28,,,,,
2013-06-29,,,,,
2013-06-30,,,,,
2013-07-01,,,,,
2013-07-02,,,,,
2013-07-03,,,,,
2013-07-04,,,,,
2013-07-05,,,,,
2013-07-06,,1.49306845316e-05,1.05383260758e-05,1.68874642646e-06,1.49306845316e-05
2013-07-07,9.01755471713e-06,1.6977801481e-05,6.66985806508e-06,2.85035892194e-06,1.6977801481e-05
2013-07-08,1.69803772941e-05,1.61479562513e-05,5.03903045159e-06,2.60287885275e-06,1.95492390382e-05
2013-07-09,1.76766796073e-05,1.92858305912e-05,1.04726883453e-05,4.93392742024e-06,2.09358015933e-05
2013-07-10,9.00430141406e-06,1.49061538563e-05,1.44563915182e-05,5.49749860268e-06,1.79993334777e-05
2013-07-11,1.05814208112e-05,1.599390903e-05,9.65632506313e-06,4.15275519226e-06,1.599390903e-05
2013-07-12,1.09525575687e-05,1.12349194878e-05,9.12952510536e-06,3.45509261463e-06,1.49622260633e-05
